,book,character
0, A Study in Scarlet,Enoch Drebber
1, A Study in Scarlet,John Ferrier
2, A Study in Scarlet,Lucy Ferrier
3, A Study in Scarlet,Jefferson Hope
4, A Study in Scarlet,Edgar Allan Poe
5, A Study in Scarlet,Joseph Stangerson
6, A Study in Scarlet,Brigham Young
7, A Study in Scarlet,Sherlock Holmes
8, A Study in Scarlet,John Waston
9, The Adventures of Sherlock Holmes,Irene Adler
10, The Adventures of Sherlock Holmes,Lord Backwater
11, The Adventures of Sherlock Holmes,Duke of Balmoral
12, The Adventures of Sherlock Holmes,George Burnwell
13, The Adventures of Sherlock Holmes,James Calhoun
14, The Adventures of Sherlock Holmes,John Clay
15, The Adventures of Sherlock Holmes,Aloysius Doran
16, The Adventures of Sherlock Holmes,Hatty Doran
17, The Adventures of Sherlock Holmes,Mr Fowler
18, The Adventures of Sherlock Holmes,Violet Hunter
19, The Adventures of Sherlock Holmes,Ku Klux Klan
20, The Adventures of Sherlock Holmes,Clotilde Lothman von Saxe-Meiningen
21, The Adventures of Sherlock Holmes,Countess of Morcar
22, The Adventures of Sherlock Holmes,Francis Hay Moulton
23, The Adventures of Sherlock Holmes,Godfrey Norton
24, The Adventures of Sherlock Holmes,Elias Openshaw
25, The Adventures of Sherlock Holmes,Grimesby Roylott
26, The Adventures of Sherlock Holmes,Alice Rucastle
27, The Adventures of Sherlock Holmes,Jephro Rucastle
28, The Adventures of Sherlock Holmes,James Ryder
29, The Adventures of Sherlock Holmes,Pablo de Sarasate
30, The Adventures of Sherlock Holmes,Mrs St Clair
31, The Adventures of Sherlock Holmes,Neville St Clair
32, The Adventures of Sherlock Holmes,Robert St Simon
33, The Adventures of Sherlock Holmes,Mrs Stoner
34, The Adventures of Sherlock Holmes,Helen Stoner
35, The Adventures of Sherlock Holmes,Mary Sutherland
36, The Adventures of Sherlock Holmes,Wilhelm von Ormstein
37, The Adventures of Sherlock Holmes,Mary Watson
38, The Adventures of Sherlock Holmes,Honoria Westphail
39, The Adventures of Sherlock Holmes,Isa Whitney
40, The Adventures of Sherlock Holmes,Jabez Wilson
41, The Adventures of Sherlock Holmes,James Windibank
42, The Adventures of Sherlock Holmes,Sherlock Holmes
43, The Adventures of Sherlock Holmes,John Waston
44, The Case-Book of Sherlock Holmes,James Damery
45, The Case-Book of Sherlock Holmes,Dolores
46, The Case-Book of Sherlock Holmes,Dorak
47, The Case-Book of Sherlock Holmes,Grace Dunbar
48, The Case-Book of Sherlock Holmes,J. C. Elman
49, The Case-Book of Sherlock Holmes,Godfrey Emsworth
50, The Case-Book of Sherlock Holmes,Jack Ferguson
51, The Case-Book of Sherlock Holmes,Mrs Ferguson
52, The Case-Book of Sherlock Holmes,Robert Ferguson
53, The Case-Book of Sherlock Holmes,Maria Gibson
54, The Case-Book of Sherlock Holmes,Neil Gibson
55, The Case-Book of Sherlock Holmes,Adelbert Gruner
56, The Case-Book of Sherlock Holmes,Isadora Klein
57, The Case-Book of Sherlock Holmes,Duke of Lomond
58, The Case-Book of Sherlock Holmes,Löwenstein
59, The Case-Book of Sherlock Holmes,Fitzroy McPherson
60, The Case-Book of Sherlock Holmes,General de Merville
61, The Case-Book of Sherlock Holmes,Violet de Merville
62, The Case-Book of Sherlock Holmes,Robert Norberton
63, The Case-Book of Sherlock Holmes,Langdale Pike
64, The Case-Book of Sherlock Holmes,Professor Presbury
65, The Case-Book of Sherlock Holmes,Harold Stackhurst
66, The Case-Book of Sherlock Holmes,Sultan of Turkey
67, The Case-Book of Sherlock Holmes,Kitty Winter
68, The Case-Book of Sherlock Holmes,Sherlock Holmes
69, The Case-Book of Sherlock Holmes,John Waston
70, The Sign of the Four,Athelney Jones
71, The Sign of the Four,Arthur Morstan
72, The Sign of the Four,Bartholomew Sholto
73, The Sign of the Four,John Sholto
74, The Sign of the Four,Thaddeus Sholto
75, The Sign of the Four,Jonathan Small
76, The Sign of the Four,Tonga
77, The Sign of the Four,Mary Watson
78, The Sign of the Four,Sherlock Holmes
79, The Sign of the Four,John Waston
80, The Valley of Fear,Ettie Shafter
81, The Valley of Fear,Jean-Baptiste Greuze
82, The Valley of Fear,Alec MacDonald
83, The Valley of Fear,James Moriarty
84, The Valley of Fear,Colonel James Moriarty
85, The Valley of Fear,Fred Porlock
86, The Valley of Fear,Jacob Shafter
87, The Valley of Fear,Sherlock Holmes
88, The Valley of Fear,John Waston
89, His Last Bow,Adolph Meyer
90, His Last Bow,Moore Agar
91, His Last Bow,Inspector Baynes
92, His Last Bow,Von Bork
93, His Last Bow,Jim Browner
94, His Last Bow,Mary Browner
95, His Last Bow,Sarah Cushing
96, His Last Bow,Susan Cushing
97, His Last Bow,Marie Devine
98, His Last Bow,Franz Joseph I of Austria
99, His Last Bow,Giuseppe Gorgiano
100, His Last Bow,Count von und zu Grafenstein
101, His Last Bow,Philip Green
102, His Last Bow,Heinrich
103, His Last Bow,Baron von Herling
104, His Last Bow,Klopman
105, His Last Bow,Louis La Rothière
106, His Last Bow,Emilia Lucca
107, His Last Bow,Mortimer Tregennis
108, His Last Bow,Juan Murillo
109, His Last Bow,Nihilist movement
110, His Last Bow,Hugo Oberstein
111, His Last Bow,Mr Roundhay
112, His Last Bow,John Scott Eccles
113, His Last Bow,Culverton Smith
114, His Last Bow,Cadogan West
115, His Last Bow,Sherlock Holmes
116, His Last Bow,John Waston
117, The Hound of the Baskervilles,Eliza Barrymore
118, The Hound of the Baskervilles,John Barrymore
119, The Hound of the Baskervilles,Baskerville family
120, The Hound of the Baskervilles,Charles Baskerville
121, The Hound of the Baskervilles,Henry Baskerville
122, The Hound of the Baskervilles,Hugo Baskerville I
123, The Hound of the Baskervilles,Rodger Baskerville II
124, The Hound of the Baskervilles,Frankland
125, The Hound of the Baskervilles,Godfrey Kneller
126, The Hound of the Baskervilles,Laura Lyons
127, The Hound of the Baskervilles,James Mortimer
128, The Hound of the Baskervilles,The Pope
129, The Hound of the Baskervilles,Joshua Reynolds
130, The Hound of the Baskervilles,Selden
131, The Hound of the Baskervilles,Beryl Stapleton
